FechaHora,Nitrogeno,Fosforo,Potasio,Conductividad_Electrica,pH,Humedad,Temperatura
01-01-2023 00:00:00,183.22,68.89,251.83,0.92,6.63,70.11,25.56
01-01-2023 00:00:00,178.92,67.03,248.92,1.03,6.34,70.54,25.83
01-01-2023 00:00:00,179.4,70.55,250.71,1.59,6.56,65.44,21.41
01-02-2023 00:00:00,177.37,72.04,247.3,1.33,6.47,60.02,21.68
01-02-2023 00:00:00,176.98,69.26,247.67,0.94,6.52,67.05,22.41
01-02-2023 00:00:00,176.49,70.14,245.85,0.81,6.58,68.19,19.22
01-03-2023 00:00:00,173.27,69.18,247.41,1.04,6.56,73.9,19.17
01-03-2023 00:00:00,174.05,68.89,245.36,0.99,6.52,73.46,20.47
01-03-2023 00:00:00,175.79,71.1,248.03,0.97,6.66,69.14,22.65
01-04-2023 00:00:00,171.55,69.62,246.1,1.19,6.38,72.62,24.93
01-04-2023 00:00:00,171.13,69.42,245.87,1.04,6.32,65.02,25.55
01-04-2023 00:00:00,170.8,69.48,245.09,1.15,6.44,67.38,25.58
01-05-2023 00:00:00,170.77,69.41,243.26,1.06,6.53,69.91,21.47
01-05-2023 00:00:00,170.34,67.54,244.13,1.58,6.6,79.98,19.64
01-05-2023 00:00:00,170.74,69.0,245.37,0.72,6.46,63.52,19.5
01-06-2023 00:00:00,168.83,70.91,243.0,1.35,6.52,73.13,24.49
01-06-2023 00:00:00,167.24,69.87,241.38,0.57,6.54,73.6,24.09
01-06-2023 00:00:00,168.32,68.37,240.0,1.23,6.41,61.81,19.27
01-07-2023 00:00:00,166.81,69.1,240.67,0.83,6.53,71.25,23.98
01-07-2023 00:00:00,162.77,70.16,239.19,1.09,6.55,73.93,21.78
01-07-2023 00:00:00,168.23,69.15,241.47,1.43,6.64,69.24,23.73
01-08-2023 00:00:00,166.75,71.35,240.92,1.14,6.57,72.0,20.52
01-08-2023 00:00:00,163.05,69.01,238.8,1.24,6.52,67.54,19.18
01-08-2023 00:00:00,163.05,68.86,239.75,1.31,6.61,59.82,22.54
01-09-2023 00:00:00,163.88,67.41,238.12,1.06,6.64,56.28,25.14
01-09-2023 00:00:00,160.62,66.72,238.24,0.92,6.55,69.33,25.92
01-09-2023 00:00:00,161.47,69.5,238.31,1.1,6.49,73.32,23.59
01-10-2023 00:00:00,161.33,67.95,237.19,1.16,6.52,69.65,21.63
01-10-2023 00:00:00,157.48,67.5,237.47,1.16,6.53,73.45,22.27
01-10-2023 00:00:00,157.19,68.84,234.82,1.39,6.65,75.49,23.97
01-11-2023 00:00:00,158.57,67.53,236.29,0.94,6.58,77.38,22.33
01-11-2023 00:00:00,157.16,68.87,235.69,1.28,6.55,72.63,21.34
01-11-2023 00:00:00,157.1,68.3,232.99,0.83,6.71,81.79,22.66
01-12-2023 00:00:00,154.94,67.32,232.87,1.52,6.37,77.07,25.31
01-12-2023 00:00:00,154.28,68.19,232.29,1.14,6.47,75.93,23.92
01-12-2023 00:00:00,151.07,66.31,234.26,0.87,6.63,64.32,25.92
02-01-2023 00:00:00,138.0,64.6,217.86,0.91,6.64,74.69,24.55
02-01-2023 00:00:00,137.19,63.37,220.46,1.13,6.96,77.8,24.56
02-01-2023 00:00:00,134.53,65.24,217.9,1.49,6.51,74.75,26.72
02-02-2023 00:00:00,134.1,63.26,218.82,1.42,6.69,66.08,21.69
02-02-2023 00:00:00,135.64,65.49,216.66,1.16,6.77,72.57,25.51
02-02-2023 00:00:00,132.93,62.94,218.94,1.54,6.65,78.46,23.42
02-03-2023 00:00:00,131.86,63.75,218.47,1.15,6.59,79.51,27.17
02-03-2023 00:00:00,134.11,64.01,216.75,1.09,6.67,72.75,25.06
